gripper_name,object_name,pose_id,total_collision_free_grasps,total_grasps,experiment_count,success_rate,
wrs_gripper_3,spatula,,3138,5640,1,55.63829787,235
wrs_gripper_3,tuna_can,,3078,3792,1,81.17088608,158
wrs_gripper_3,washer_10mm,,48,96,1,50,4
wrs_gripper_4,apple,,3192,3648,1,87.5,152
wrs_gripper_4,bowl,,818,14664,1,5.578286961,611
wrs_gripper_4,chips_can,,7120,12552,1,56.72402804,523
wrs_gripper_4,clamp_XS,,574,3048,1,18.832021,127
wrs_gripper_4,coffee_can,,5114,11712,1,43.66461749,488
wrs_gripper_4,cracker_box,,5064,19536,1,25.92137592,814
wrs_gripper_4,golfball,,1008,1008,1,100,42
wrs_gripper_4,key,,236,432,1,54.62962963,18
wrs_gripper_4,large_marker,,1344,2160,1,62.22222222,90
wrs_gripper_4,pear_800,,1804,2976,1,60.61827957,124
wrs_gripper_4,phillips_screwdriver,,1408,3072,1,45.83333333,128
wrs_gripper_4,pitcher,,9316,52224,1,17.83854167,2176
wrs_gripper_4,plate,,3316,21168,1,15.66515495,882
wrs_gripper_4,power_drill,,2261,13704,1,16.49883246,571
wrs_gripper_4,pudding_box,,4730,5592,1,84.5851216,233
wrs_gripper_4,rope_blocks,,579,62208,1,0.930748457,2592
wrs_gripper_4,skillet,,4728,47760,1,9.899497487,1990
wrs_gripper_4,skillet_lid,,876,33624,1,2.605281941,1401
wrs_gripper_4,small_marker,,694,816,1,85.04901961,34
wrs_gripper_4,softball,,7008,9960,1,70.36144578,415
wrs_gripper_4,spatula,,3460,5640,1,61.34751773,235
wrs_gripper_4,tuna_can,,3166,3792,1,83.49156118,158
wrs_gripper_4,washer_10mm,,48,96,1,50,4
总计,所有对象,-1,226013,226013,144,100,
